Project,Sample,Individual ID,LSIDs,Bait Set,Processing Location,Research Project Name,Initiative Name,PDO Number,Gssr Id,Product,Product Part Number,Day of Analysis Start,Day of Analysis End,Day of Last Run End Date,LCSET,Aggregated Lanes,WR ID,BAM Path,BAM Path with version,# Lanes in Aggregation,% Adapter (Al),PF Reads,PF Reads %,PF Reads Aligned,PF Reads Aligned %,Total Reads,Coverage (19 mb)
G143235,AFA_1003_14,'AFA,BROAD:SEQUENCING_SAMPLE:1413669.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413669,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143235/AFA_1003_14/current/AFA_1003_14.bam,/seq/picard_aggregation/G143235/AFA_1003_14/v2/AFA_1003_14.bam,3,0.4068,"37,212,980",100,"33,570,006",90.2105,"37,212,980",266.7932056
G143255,CL10,'CL10,BROAD:SEQUENCING_SAMPLE:1413594.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413594,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143255/CL10/current/CL10.bam,/seq/picard_aggregation/G143255/CL10/v2/CL10.bam,3,0.5633,"15,146,094",100,"13,291,795",87.7572,"15,146,094",105.6347918
G143236,CL100,'CL100,BROAD:SEQUENCING_SAMPLE:1413587.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413587,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143236/CL100/current/CL100.bam,/seq/picard_aggregation/G143236/CL100/v2/CL100.bam,3,5.3551,"22,562,492",100,"18,853,644",83.5619,"22,562,492",149.8368549
G143237,CL149,'CL149,BROAD:SEQUENCING_SAMPLE:1413595.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413595,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143237/CL149/current/CL149.bam,/seq/picard_aggregation/G143237/CL149/v2/CL149.bam,3,0.3254,"20,830,136",100,"17,783,180",85.3724,"20,830,136",141.3294832
G143265,CL160,'CL160,BROAD:SEQUENCING_SAMPLE:1413609.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413609,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143265/CL160/current/CL160.bam,/seq/picard_aggregation/G143265/CL160/v2/CL160.bam,3,0.0931,"24,505,050",100,"20,981,302",85.6203,"24,505,050",166.7461369
G143266,CL161,'CL161,BROAD:SEQUENCING_SAMPLE:1413598.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413598,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143266/CL161/current/CL161.bam,/seq/picard_aggregation/G143266/CL161/v2/CL161.bam,3,0.0963,"18,495,426",100,"16,207,737",87.6311,"18,495,426",128.8088572
G143267,CL162,'CL162,BROAD:SEQUENCING_SAMPLE:1413611.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413611,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143267/CL162/current/CL162.bam,/seq/picard_aggregation/G143267/CL162/v2/CL162.bam,3,0.1364,"19,725,050",100,"16,837,858",85.3628,"19,725,050",133.8166609
G143268,CL163,'CL163,BROAD:SEQUENCING_SAMPLE:1413589.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413589,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143268/CL163/current/CL163.bam,/seq/picard_aggregation/G143268/CL163/v2/CL163.bam,3,2.0198,"18,745,024",100,"16,151,463",86.164,"18,745,024",128.361627
G143269,CL164,'CL164,BROAD:SEQUENCING_SAMPLE:1413637.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413637,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143269/CL164/current/CL164.bam,/seq/picard_aggregation/G143269/CL164/v2/CL164.bam,3,0.3478,"19,295,560",100,"16,050,409",83.1819,"19,295,560",127.5585136
G143270,CL165,'CL165,BROAD:SEQUENCING_SAMPLE:1413602.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413602,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143270/CL165/current/CL165.bam,/seq/picard_aggregation/G143270/CL165/v2/CL165.bam,3,0.7335,"15,596,276",100,"13,602,094",87.2137,"15,596,276",108.1008523
G143271,CL166,'CL166,BROAD:SEQUENCING_SAMPLE:1413615.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413615,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143271/CL166/current/CL166.bam,/seq/picard_aggregation/G143271/CL166/v2/CL166.bam,3,0.0292,"22,166,236",100,"20,117,279",90.7564,"22,166,236",159.8794278
G143272,CL167,'CL167,BROAD:SEQUENCING_SAMPLE:1413658.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413658,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143272/CL167/current/CL167.bam,/seq/picard_aggregation/G143272/CL167/v2/CL167.bam,3,0.0917,"28,730,924",100,"23,974,521",83.445,"28,730,924",190.5343511
G143256,CL21,'CL21,BROAD:SEQUENCING_SAMPLE:1413590.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413590,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143256/CL21/current/CL21.bam,/seq/picard_aggregation/G143256/CL21/v2/CL21.bam,3,0.4209,"28,555,442",100,"23,076,052",80.8114,"28,555,442",183.3938869
G143273,CL213,'CL213,BROAD:SEQUENCING_SAMPLE:1413674.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413674,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143273/CL213/current/CL213.bam,/seq/picard_aggregation/G143273/CL213/v2/CL213.bam,3,0.2137,"22,372,714",100,"20,368,559",91.042,"22,372,714",161.8764426
G143252,CL4,'CL4,BROAD:SEQUENCING_SAMPLE:1413638.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413638,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143252/CL4/current/CL4.bam,/seq/picard_aggregation/G143252/CL4/v2/CL4.bam,3,0.1771,"24,619,462",100,"20,590,558",83.6353,"24,619,462",163.6407504
G143253,CL5,'CL5,BROAD:SEQUENCING_SAMPLE:1413592.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413592,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143253/CL5/current/CL5.bam,/seq/picard_aggregation/G143253/CL5/v2/CL5.bam,3,0.4924,"22,874,216",100,"20,201,741",88.3166,"22,874,216",160.5506785
G143257,CL50,'CL50,BROAD:SEQUENCING_SAMPLE:1413662.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413662,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143257/CL50/current/CL50.bam,/seq/picard_aggregation/G143257/CL50/v2/CL50.bam,3,0.4642,"20,440,928",100,"17,063,111",83.4752,"20,440,928",135.6068295
G143258,CL51,'CL51,BROAD:SEQUENCING_SAMPLE:1413599.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413599,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143258/CL51/current/CL51.bam,/seq/picard_aggregation/G143258/CL51/v2/CL51.bam,3,0.0977,"18,634,604",100,"16,538,287",88.7504,"18,634,604",131.4358598
G143259,CL67,'CL67,BROAD:SEQUENCING_SAMPLE:1413591.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413591,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143259/CL67/current/CL67.bam,/seq/picard_aggregation/G143259/CL67/v2/CL67.bam,3,0.3466,"23,270,370",100,"20,366,652",87.5218,"23,270,370",161.8612869
G143260,CL70,'CL70,BROAD:SEQUENCING_SAMPLE:1413597.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413597,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143260/CL70/current/CL70.bam,/seq/picard_aggregation/G143260/CL70/v2/CL70.bam,3,0.2247,"21,752,918",100,"18,231,730",83.8128,"21,752,918",144.8942753
G143261,CL71,'CL71,BROAD:SEQUENCING_SAMPLE:1413610.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413610,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143261/CL71/current/CL71.bam,/seq/picard_aggregation/G143261/CL71/v2/CL71.bam,3,0.2749,"20,779,218",100,"18,362,214",88.3682,"20,779,218",145.9312797
G143254,CL8,'CL8,BROAD:SEQUENCING_SAMPLE:1413593.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413593,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143254/CL8/current/CL8.bam,/seq/picard_aggregation/G143254/CL8/v2/CL8.bam,3,0.5785,"21,988,578",100,"19,099,709",86.862,"21,988,578",151.7924242
G143262,CL83,'CL83,BROAD:SEQUENCING_SAMPLE:1413663.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413663,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143262/CL83/current/CL83.bam,/seq/picard_aggregation/G143262/CL83/v2/CL83.bam,3,0.3387,"32,735,964",100,"27,784,928",84.8759,"32,735,964",220.8170594
G143263,CL85,'CL85,BROAD:SEQUENCING_SAMPLE:1413632.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413632,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143263/CL85/current/CL85.bam,/seq/picard_aggregation/G143263/CL85/v2/CL85.bam,3,0.3333,"25,036,034",100,"22,894,603",91.4466,"25,036,034",181.9518449
G143264,CL91,'CL91,BROAD:SEQUENCING_SAMPLE:1413601.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413601,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143264/CL91/current/CL91.bam,/seq/picard_aggregation/G143264/CL91/v2/CL91.bam,3,0.1677,"20,306,110",100,"17,544,781",86.4015,"20,306,110",139.4348385
G143249,CNRMA7.1143,'PatCNR10541,BROAD:SEQUENCING_SAMPLE:1413635.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413635,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143249/CNRMA7.1143/current/CNRMA7.1143.bam,/seq/picard_aggregation/G143249/CNRMA7.1143/v2/CNRMA7.1143.bam,3,0.0042,"21,202,452",100,"20,438,787",96.3982,"21,202,452",162.4345704
G143251,CNRMA8.51,'PatCNR10573,BROAD:SEQUENCING_SAMPLE:1413634.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413634,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143251/CNRMA8.51/current/CNRMA8.51.bam,/seq/picard_aggregation/G143251/CNRMA8.51/v2/CNRMA8.51.bam,3,0.0129,"24,871,608",100,"23,847,223",95.8813,"24,871,608",189.522667
G143240,GRAC2,'GRACP15SO1-2,BROAD:SEQUENCING_SAMPLE:1413629.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413629,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143240/GRAC2/current/GRAC2.bam,/seq/picard_aggregation/G143240/GRAC2/v2/GRAC2.bam,3,0.0559,"24,320,946",100,"1,628,385",6.6954,"24,320,946",12.94137553
G143284,GRACA18BK1-3,'GRACA18BK1-3,BROAD:SEQUENCING_SAMPLE:1413596.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413596,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143284/GRACA18BK1-3/current/GRACA18BK1-3.bam,/seq/picard_aggregation/G143284/GRACA18BK1-3/v2/GRACA18BK1-3.bam,3,0.113,"21,668,770",100,"19,568,725",90.3084,"21,668,770",155.5198671
G143287,GRACP30BK1-1,'GRACP30BK1-1,BROAD:SEQUENCING_SAMPLE:1413640.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413640,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143287/GRACP30BK1-1/current/GRACP30BK1-1.bam,/seq/picard_aggregation/G143287/GRACP30BK1-1/v2/GRACP30BK1-1.bam,3,0.5003,"30,090,688",100,"27,108,765",90.0902,"30,090,688",215.4433429
G143279,GRAKI28HO1-1,'GRAKI28HO1-1,BROAD:SEQUENCING_SAMPLE:1413608.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413608,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143279/GRAKI28HO1-1/current/GRAKI28HO1-1.bam,/seq/picard_aggregation/G143279/GRAKI28HO1-1/v2/GRAKI28HO1-1.bam,3,0.9286,"15,076,938",100,"13,538,443",89.7957,"15,076,938",107.5949944
G143288,GRLMM26HO1-2,'GRLMM26HO1-2,BROAD:SEQUENCING_SAMPLE:1413618.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413618,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143288/GRLMM26HO1-2/current/GRLMM26HO1-2.bam,/seq/picard_aggregation/G143288/GRLMM26HO1-2/v2/GRLMM26HO1-2.bam,3,0.4439,"27,710,748",100,"25,501,791",92.0285,"27,710,748",202.6721285
G143239,I0156,'IUM_01-0956,BROAD:SEQUENCING_SAMPLE:1413668.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413668,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143239/I0156/current/I0156.bam,/seq/picard_aggregation/G143239/I0156/v2/I0156.bam,3,0.2361,"27,871,396",100,"26,645,649",95.6021,"27,871,396",211.7627894
G143238,ITMP1,'ITMPV22BK7-1,BROAD:SEQUENCING_SAMPLE:1413603.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413603,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143238/ITMP1/current/ITMP1.bam,/seq/picard_aggregation/G143238/ITMP1/v2/ITMP1.bam,3,0.5219,"26,267,802",100,"25,106,525",95.5791,"26,267,802",199.5308039
